2023-02-10 13:02:55 - Starting VsatApplication using Java 18.0.2 with PID 19880 (C:\Users\svsmirnov\Desktop\vsat\target\classes started by svsmirnov in C:\Users\svsmirnov\Desktop\vsat)
2023-02-10 13:02:55 - No active profile set, falling back to 1 default profile: "default"
2023-02-10 13:02:56 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-10 13:02:56 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-10 13:03:00 - Tomcat initialized with port(s): 8088 (http)
2023-02-10 13:03:00 - Starting service [Tomcat]
2023-02-10 13:03:00 - Starting Servlet engine: [Apache Tomcat/10.1.4]
2023-02-10 13:03:00 - Initializing Spring embedded WebApplicationContext
2023-02-10 13:03:00 - Root WebApplicationContext: initialization completed in 4604 ms
2023-02-10 13:04:12 - 10.2.170.1 - Error: Response PDU is null
2023-02-10 13:04:12 - 10.2.213.1 - Error: Response PDU is null
2023-02-10 13:04:12 - 10.2.191.1 - Error: Response PDU is null
2023-02-10 13:04:12 - 10.2.52.1 - Error: Response PDU is null
2023-02-10 13:04:13 - 10.2.37.1 - Error: Response PDU is null
2023-02-10 13:04:13 - 10.2.128.1 - Error: Response PDU is null
2023-02-10 13:04:13 - 10.2.70.1 - Error: Response PDU is null
2023-02-10 13:04:13 - 10.2.152.1 - Error: Response PDU is null
2023-02-10 13:04:15 - 10.2.171.1 - Error: Response PDU is null
2023-02-10 13:04:15 - 10.2.214.1 - Error: Response PDU is null
2023-02-10 13:04:15 - 10.2.90.1 - Error: Response PDU is null
2023-02-10 13:04:16 - 10.2.38.1 - Error: Response PDU is null
2023-02-10 13:04:16 - 10.2.71.1 - Error: Response PDU is null
2023-02-10 13:04:16 - 10.2.193.1 - Error: Response PDU is null
2023-02-10 13:04:16 - 10.2.153.1 - Error: Response PDU is null
2023-02-10 13:04:17 - 10.2.54.1 - Error: Response PDU is null
2023-02-10 13:04:17 - 10.2.17.1 - Error: Response PDU is null
2023-02-10 13:04:18 - 10.2.113.1 - Error: Response PDU is null
2023-02-10 13:04:18 - 10.2.215.1 - Error: Response PDU is null
2023-02-10 13:04:19 - 10.2.39.1 - Error: Response PDU is null
2023-02-10 13:04:19 - 10.2.173.1 - Error: Response PDU is null
2023-02-10 13:04:19 - 10.2.194.1 - Error: Response PDU is null
2023-02-10 13:04:19 - 10.2.154.1 - Error: Response PDU is null
